supplement,food_sources,top_food,leucine_in_top_food_g,isoleucine_in_top_food_g,valine_in_top_food_g,notes,glutamic_acid_g,arginine_g,glycine_g
Leucine,"Soy protein isolate, Pea protein isolate, Spirulina, Hemp seeds, Pumpkin seeds",Soy protein isolate,6.6,,,,,,
Isoleucine,"Soy protein isolate, Pea protein isolate, Spirulina, Hemp seeds",Soy protein isolate,,3.4,,,,,
Valine,"Soy protein isolate, Pea protein isolate, Spirulina, Hemp seeds",Soy protein isolate,,,3.6,,,,
Creatine Monohydrate,Not naturally found in plant foods; synthesized from arginine + glycine + methionine,Hemp seeds (arginine precursor),,,,Vegans synthesize creatine endogenously; supplementation may benefit vegan athletes,,,
HMB,Endogenous leucine metabolite; citrus fruits (trace amounts),Soy protein isolate (leucine precursor),,,,HMB is produced from leucine; high-leucine foods support HMB production,,,
L-Glutamine,"Soy protein isolate, Spirulina, Hemp seeds, Pea protein",Soy protein isolate,,,,,16.0,,
L-Arginine,"Hemp seeds, Pumpkin seeds, Soy protein isolate, Peanuts, Spirulina",Hemp seeds,,,,,,3.98,
L-Citrulline,"Watermelon (not in our database), cucumbers, pumpkins",Pumpkin seeds,,,,Watermelon is the richest plant source of citrulline,,,
Glycine,"Soy protein isolate, Spirulina, Hemp seeds, Pumpkin seeds",Soy protein isolate,,,,,,,3.6
Taurine,Not found in plant foods; synthesized from cysteine,Soy protein isolate (cysteine precursor),,,,Vegans have lower taurine levels; supplementation may be beneficial,,,
Beta-Alanine,Not found in plant foods; synthesized in liver,N/A,,,,Supplementation needed for vegans to increase muscle carnosine,,,
Resveratrol,"Grapes (skin), red wine, blueberries, cranberries, peanuts",Peanuts,,,,Peanuts contain ~0.04-0.12 mg resveratrol per 100g,,,
Curcumin,Turmeric root (Curcuma longa),Turmeric,,,,Pair with piperine (black pepper) for 20x bioavailability,,,
EGCG,Green tea (Camellia sinensis),Green tea,,,,~7-8 cups green tea per day for therapeutic dose,,,
Quercetin,"Onions, capers, apples, berries, kale",Capers,,,,Capers contain ~180 mg quercetin per 100g,,,
Vitamin D3,"Mushrooms (UV-exposed), lichen extract",UV-exposed mushrooms,,,,Vegans should supplement D3 from lichen source,,,
Omega-3 EPA/DHA,"Algae oil, flaxseed (ALA precursor), chia seeds (ALA), hemp seeds (ALA)",Algae oil supplement,,,,ALA conversion to EPA/DHA is <5% in humans; algae oil recommended,,,
Vitamin C,"Bell peppers, citrus fruits, kiwi, strawberries, broccoli",Bell peppers,,,,~200mg per day for optimal antioxidant function,,,
Magnesium,"Pumpkin seeds, hemp seeds, almonds, spinach, dark chocolate",Pumpkin seeds,,,,~535 mg per 100g in pumpkin seeds,,,
Zinc,"Pumpkin seeds, hemp seeds, cashews, chickpeas, oats",Pumpkin seeds,,,,~7.8 mg per 100g in pumpkin seeds,,,
CoQ10,"Not found in significant amounts in plant foods; peanuts, sesame seeds (trace)",Peanuts,,,,Vegans should consider CoQ10 supplementation,,,
NAD+ (NR),Not found in significant amounts in plant foods,N/A,,,,Supplementation needed; nutritional yeast contains trace NR,,,
Astaxanthin,"Algae (Haematococcus pluvialis), not in common plant foods",Algae supplement,,,,Vegans should supplement from algae source,,,
Melatonin,"Tart cherries, walnuts, oats, rice, tomatoes (trace amounts)",Tart cherries,,,,~0.01-0.02 mg per 100g in tart cherries,,,
NAC,Not found in foods; precursor to glutathione,N/A,,,,Synthesized from cysteine; soy protein is good cysteine source,,,
Alpha-Lipoic Acid,"Spinach, broccoli, tomatoes, peas (trace amounts)",Spinach,,,,Very low levels in foods; supplementation needed for therapeutic dose,,,
Spermidine,"Soybeans, mushrooms, aged cheese (non-vegan), wheat germ",Soybeans,,,,~200-300 mg per 100g in soybeans,,,
Piperine,Black pepper (Piper nigrum),Black pepper,,,,~5-9 mg per gram of black pepper,,,
