rank,name,category,mechanism,pathway,targets,n_targets,n_targets_in_meta,n_targets_in_strict_sig,targets_in_meta,direction_matches,n_direction_matches,target_coverage,direction_score,direction_magnitude,pathway_score,gsea_pathway_hits,in_lincs,lincs_reversal_score,evidence,n_studies,evidence_score,composite_score,leucine_g_per_100g,notes
1,Beta-Hydroxy Beta-Methylbutyrate (HMB),Leucine Metabolite,Leucine metabolite; anti-catabolic via ubiquitin-proteasome inhibition; activates mTOR,Ubiquitin-proteasome / mTORC1,FBXO32|TRIM63|MTOR|FOXO3,4,4,0,FBXO32|TRIM63|MTOR|FOXO3,inhibit_up:FBXO32(fc=0.303)|activate_down:TRIM63(fc=-0.196)|inhibit_up:FOXO3(fc=0.221),3,1.0,0.75,0.24,0.5,mtorc1,False,,Strong,40,0.8,0.71,0.0,Directly suppresses FBXO32 (atrogin-1) and TRIM63 (MuRF1) - key atrophy ubiquitin ligases
2,Coenzyme Q10 (Ubiquinone),Antioxidant,Mitochondrial electron transport; antioxidant; ATP production,Mitochondrial electron transport,MT-ND1|MT-CO1|MT-ATP6,3,3,2,MT-ND1|MT-CO1|MT-ATP6,inhibit_up:MT-ND1(fc=1.478)|inhibit_up:MT-CO1(fc=1.166)|inhibit_up:MT-ATP6(fc=0.585),3,1.0,1.0,1.076,0.5,mitochondrial,False,,Moderate,15,0.2,0.665,0.0,Our signature shows upregulation of mitochondrial ETC genes - CoQ10 may support mitochondrial function
3,Creatine Monohydrate,Protein Derivative,Phosphocreatine reservoir; ATP buffering; increases muscle mass and strength; satellite cell activation,Energy metabolism / satellite cell,CKM|CKB|MYOD1|PAX7,4,4,0,CKM|CKB|MYOD1|PAX7,,0,1.0,0.0,0.0,1.0,energy|satellite,True,0.792,Strong,100,1.0,0.636,0.0,
4,Vitamin D3 (Cholecalciferol),Vitamin,Muscle function; satellite cell activation; protein synthesis; anti-inflammatory,VDR signaling / satellite cell,MYOD1|MYOG|PAX7|VDR,4,4,0,MYOD1|MYOG|PAX7|VDR,inhibit_up:MYOG(fc=0.26)|inhibit_up:VDR(fc=0.122),2,1.0,0.5,0.191,0.5,satellite,True,-0.051,Strong,35,0.7,0.634,0.0,NASA has studied vitamin D in astronauts - deficiency common in spaceflight
5,Resveratrol,Polyphenol,SIRT1 activator; AMPK modulation; anti-inflammatory; mitochondrial biogenesis via PGC-1a,SIRT1/AMPK / mitochondrial biogenesis,PPARGC1A|SIRT1|NFKB1|FOXO3|AMPK,5,4,0,PPARGC1A|SIRT1|NFKB1|FOXO3,activate_down:PPARGC1A(fc=-0.512)|inhibit_up:FOXO3(fc=0.221),2,0.8,0.5,0.366,1.0,sirt1|ampk|mitochondrial,True,-0.59,Moderate,20,0.267,0.562,0.0,Activates PGC-1a (down-regulated in our signature)
6,Epigallocatechin Gallate (EGCG),Polyphenol,Green tea catechin; anti-inflammatory; FOXO3 modulation; anti-apoptotic in muscle,FOXO / inflammatory,FOXO3|NFKB1|TNF,3,3,0,FOXO3|NFKB1|TNF,inhibit_up:FOXO3(fc=0.221),1,1.0,0.333,0.221,1.0,foxo|inflammatory,False,,Moderate,15,0.2,0.54,0.0,
7,Vitamin C (Ascorbic Acid),Vitamin,Antioxidant; collagen synthesis; carnitine biosynthesis; iron absorption,Collagen synthesis / antioxidant,COL1A1|COL3A1,2,2,0,COL1A1|COL3A1,inhibit_up:COL3A1(fc=0.206),1,1.0,0.5,0.206,0.5,collagen,True,-0.051,Moderate,12,0.16,0.526,0.0,
8,Leucine,Amino Acid,mTORC1 activator via Sestrin2 binding; stimulates MPS; most potent BCAA for muscle protein synthesis,mTORC1 signaling,MTOR|RPS6KB1|EIF4EBP1|DDIT4,4,4,0,MTOR|RPS6KB1|EIF4EBP1|DDIT4,,0,1.0,0.0,0.0,0.5,mtorc1,False,,Strong,50,1.0,0.525,5.5,Key leucine threshold ~2-3g per meal for MPS stimulation
9,L-Citrulline,Amino Acid,More efficient NO precursor than arginine; protein synthesis; muscle fatigue reduction,NO signaling / mTORC1,MTOR|IGF1,2,2,0,MTOR|IGF1,inhibit_up:IGF1(fc=0.143),1,1.0,0.5,0.143,0.5,mtorc1,False,,Moderate,15,0.2,0.515,0.0,
10,Glycine,Amino Acid,Collagen synthesis; glutathione precursor; anti-inflammatory; sleep quality,Collagen / antioxidant,COL1A1|COL3A1,2,2,0,COL1A1|COL3A1,inhibit_up:COL3A1(fc=0.206),1,1.0,0.5,0.206,0.5,collagen,False,,Moderate,10,0.133,0.502,1.8,
