food,category,protein_g,leucine_g,isoleucine_g,valine_g,lysine_g,threonine_g,phenylalanine_g,methionine_g,tryptophan_g,histidine_g,arginine_g,glutamic_acid_g,glycine_g,cystine_g,tyrosine_g,energy_kcal,bcaa_total_g,bcaa_ratio_leu,leucine_per_100g_protein,bcaa_per_100g_protein,lysine_per_100g_protein,grams_for_leucine_threshold,kcal_for_leucine_threshold,source_type,leucine_density_z,protein_quality_z,caloric_efficiency_z,lysine_density_z,mps_score,mps_rank,leucine_rank,protein_rank,bcaa_rank
Whey protein isolate,animal_supplement,90.0,11.0,6.4,5.8,9.8,7.0,3.4,2.1,1.9,1.8,2.5,16.0,1.8,2.0,3.2,370,23.2,0.4741379310344827,12.22222222222222,25.77777777777778,10.88888888888889,22.727272727272727,84.09090909090908,animal,3.0267190780403532,2.925120354960702,1.1438871423659782,2.2467190626993676,2.5077530078344177,1,1,1,1
Casein protein,animal_supplement,85.0,9.3,5.0,6.0,7.5,4.2,5.0,2.7,1.3,2.7,3.5,20.0,2.5,0.5,5.5,360,20.3,0.458128078817734,10.941176470588236,23.88235294117647,8.823529411764707,26.881720430107524,96.77419354838707,animal,2.123847674925737,2.2791078157331595,1.111052378230159,1.296776313746515,1.836042946611594,2,3,2,2
Egg white (dried),animal_supplement,82.0,8.5,4.8,6.0,6.2,4.0,5.5,3.6,1.3,2.4,5.6,12.5,3.4,2.8,4.0,382,19.3,0.4404145077720207,10.365853658536585,23.53658536585366,7.560975609756097,29.411764705882355,112.3529411764706,animal,1.7183644875388955,2.1612607848177237,1.0707217757261693,0.7160765166095437,1.5492168238566548,3,5,4,3
Milk (whole),animal_dairy,3.2,0.34,0.19,0.23,0.27,0.15,0.17,0.09,0.04,0.09,0.12,0.68,0.08,0.04,0.17,61,0.76,0.4473684210526316,10.625,23.75,8.4375,735.2941176470588,448.52941176470586,animal,1.901008878366198,2.233998319459512,0.20042077784318577,1.1192257010565532,1.5268711419384773,4,4,3,58
Cottage cheese (lowfat 2%),animal_dairy,12.6,1.28,0.73,0.85,1.12,0.53,0.65,0.38,0.16,0.35,0.45,2.45,0.35,0.14,0.53,84,2.86,0.4475524475524476,10.158730158730158,22.6984126984127,8.888888888888891,195.3125,164.0625,animal,1.572385403927158,1.875588653299404,0.9368549391642254,1.3268377931437578,1.484247981700123,5,6,5,42
Greek yogurt (nonfat),animal_dairy,10.9,1.08,0.62,0.72,0.95,0.45,0.55,0.32,0.14,0.3,0.38,2.1,0.3,0.12,0.45,59,2.42,0.4462809917355372,9.908256880733946,22.20183486238532,8.715596330275229,231.4814814814815,136.57407407407408,animal,1.3958537229479993,1.706341367634737,1.0080175772623214,1.24713350373272,1.3736003721002563,6,7,6,49
"Corn, yellow, raw",Grain,9.4,1.13,0.37,0.48,0.27,0.36,0.45,0.2,0.07,0.27,0.44,1.77,0.37,0.16,0.35,361,1.98,0.5707070707070706,12.02127659574468,21.06382978723404,2.872340425531915,221.23893805309737,798.6725663716815,vegan,2.8850941130489716,1.3184781645912786,-0.7060374770225875,-1.4404173262640785,1.126387092023279,7,2,7,52
"Egg, whole (raw)",animal_whole_food,12.6,1.09,0.67,0.78,0.88,0.51,0.66,0.39,0.17,0.31,0.77,1.64,0.42,0.28,0.51,143,2.54,0.4291338582677165,8.650793650793652,20.15873015873016,6.984126984126984,229.3577981651376,327.9816513761468,animal,0.5096031036136698,1.0099954972900869,0.5124974558306347,0.450760393566985,0.6264536659691644,8,9,8,47
Pea protein isolate,Other,75.0,6.5,3.3,3.6,5.5,2.8,3.8,0.8,0.7,1.8,6.5,10.5,2.8,0.8,2.5,380,13.4,0.4850746268656716,8.666666666666668,17.866666666666667,7.333333333333333,38.46153846153847,146.15384615384616,vegan,0.5207902857222328,0.2287976739916768,0.9832172538312115,0.611374583489393,0.5538651710764636,9,8,13,6
"Spirulina, dried",Other,57.5,4.97,2.85,3.2,3.03,2.87,2.78,1.15,0.93,1.08,3.85,8.38,3.08,0.57,2.58,290,11.02,0.4509981851179673,8.643478260869566,19.16521739130435,5.269565217391304,50.30181086519116,145.87525150905435,vegan,0.5044472718592882,0.6713792181077456,0.9839384857393905,-0.33783623379117894,0.5157359753498529,10,10,9,8
